,team,total goals
0,AUS Open,107
1,AUT Open,107
2,BEL Open,128
3,CAN Open,133
4,CHN Open,59
5,COL Open,120
6,GBR Open,107
7,GER Open,111
8,IRL Open,92
9,ITA Open,115
10,JPN Open,138
11,NED Open,116
12,NZL Open,118
13,SGP Open,86
14,USA Open,117
15,AUS Women's,117
16,AUT Women's,89
17,CAN Women's,118
18,CHN Women's,52
19,COL Women's,91
20,GBR Women's,92
21,GER Women's,119
22,IRL Women's,87
23,ITA Women's,99
24,JPN Women's,119
25,NZL Women's,92
26,PHI Women's,70
27,SGP Women's,101
28,USA Women's,120
29,AUS Mixed,125
30,CAN Mixed,127
31,CHN Mixed,86
32,COL Mixed,55
33,FIN Mixed,96
34,GBR Mixed,118
35,GER Mixed,82
36,HKG Mixed,80
37,JPN Mixed,120
38,NZL Mixed,108
39,RSA Mixed,113
40,SGP Mixed,107
41,SUI Mixed,119
42,SWE Mixed,119
43,TPE Mixed,131
44,USA Mixed,120
