,open teams,women's teams,mixed teams
0,7 Schwaben,6ixers,Alligators Masi
1,Alba,Aerosoul,Baekho
2,Bad Skid,Bamboo,BFG
3,Baja Ultimate,Blueberries,Catchup
4,Buzz Bullets,Boston Brutesquad,Charrúa
5,Canieporci,Box Vienna Ultimate,Colorado
6,Chevron,Bristol Women,Condor Ultimate
7,Clapham Ultimate,Chicago Nemesis,CRAZY
8,CUS PADOVA Barbastreji,CUSB Shout,Crazy Dogs
9,CUSB Open,Dublin Gravity,CUSB Red Shot
10,Euforia,Ellipsis,D-CRASH
11,Flying Angels Bern,FABulous,Deep Space
12,Force Elektro,Fury,Disconnection
13,Freespeed,Fusion,Eintracht Frankfurt
14,Furious George,HUCK,Fireflies
15,Gentle,Iceni,FucZH
16,GOAT,Iris,GRUT
17,Guayota,jinX,Hammers Ultimate Buenos Aires
18,Iznogood,La Septima,High Tide
19,KFK (Københavns Frisbee Klub),Malafama,Hybrid
20,Koels,MUD,IKU!
21,Makawua,Nightlock,LAB
22,Melbourne Ellipsis,Pangolins,Lunch Box Ultimate Club
23,Melbourne Juggernaut,Parcha,Macondo
24,Mephisto,Pop Ultimate,Mainzelrenner
25,Mooncatchers,Raleigh Phoenix,Meclao'
26,Mutiny,Revolution,Monkeys
27,Nomadic Tribe,Salty,Njord
28,PoNY,SCRAM,NOISE
29,Raleigh Ring of Fire,Seagulls Hamburg,Otters
30,Ranelagh,Seattle Riot,Owls UC
31,Rascals,Spanglish,PBHG
32,Rhino Slam!,Spice Ultimate,Pie Wagon
33,Seattle Sockeye,Stella,PUC Ultimate
34,Sunder,Swampybarg,Pussin Tiristäjät (PuTi)
35,Tchac,SYC,RATELS
36,URO Monster,Tabby Rosa,Reading Ultimate
37,Wall City,TOKYO Mavericks,Red Flag
38,Warao Ultimate Venezuela,Traffic,Seattle Mixtape
39,Wildcats,Yaka,SMOG 1
40,,,SMOG Rising
41,,,SUFC Valhalla
42,,,Two Oceans
43,,,Union
44,,,Voltaje
45,,,W.underteam
46,,,Wollongong Krank
47,,,Zen Ultimate Club
