,person 1,person 2,team,# connections
24,#4 Emma Whitlock,#99 Zaria Ireland,NZL Women's,24
1009,#9 Benjamin Oort,#99 Tom Blasman,NED Open,20
918,#17 Adam Chung,#88 Bryn Douglas,NZL Open,17
68,#12 Lisa Schütz,#75 Charlotte Schall,GER Women's,15
1553,#23 Saku Vintola,#54 Teemu Virtanen,FIN Mixed,14
39,#14 Angela Pidgeon,#4 Lucy Deller,AUS Women's,13
1690,#25 Louis Brunner,#8 Leon Vitaliano,SUI Mixed,13
903,#53 Filip Molnár,#99 Tom Blasman,NED Open,12
100,#30 YURONG HUANG,#40 HAITANG ZHANG,CHN Women's,12
1614,#11 Matthew Shu,#78 BO-YI YAN,TPE Mixed,12
1490,#2 Nathan Ong Song En,#33 Reynard Cher Zhi Heng,SGP Mixed,11
1066,#35 Benjamin Jonkers,#9 Sofiene Bontemps,BEL Open,11
147,#24 Christina McKeon,#4 Clare Gilheany,IRL Women's,11
157,#21 Ava Mueller,#3 Rebecca Reimann,GER Women's,11
723,#16 Ethan Morrell,#55 Sam Criddle,GBR Open,11
628,#21 Kody Elliott-Edwards,#26 Andrew Sweetnam,GBR Open,11
1407,#3 SHUTO NAGAI,#57 HIROTO MATSUHASHI,JPN Mixed,10
1312,#31 Lucas Willcock,#78 Finn Collins,NZL Mixed,10
1504,#10 Siyabonga Mhlongo,#71 Jason Darren Garde,RSA Mixed,10
72,#21 Ava Mueller,#36 Pia Bankwitz,GER Women's,10
1600,#37 Calvin Coulbury,#74 Filip Kragl,CAN Mixed,10
926,#43 Benjamin Swanson,#88 Bryn Douglas,NZL Open,10
725,#16 Ethan Morrell,#26 Andrew Sweetnam,GBR Open,9
46,#1 Reyer Carpenter,#14 Angela Pidgeon,AUS Women's,9
1651,#37 Herman Engström,#5 Alexander Hermansson,SWE Mixed,9
1608,#44 YU-HSIANG HUNG,#78 BO-YI YAN,TPE Mixed,9
1609,#98 XIANG-TING HUANG,#99 JIA-FONG LIN,TPE Mixed,9
921,#19 Wilkie Lewis,#8 Oscar Stonehouse,CAN Open,9
1596,#71 CHUN-YI WU,#99 JIA-FONG LIN,TPE Mixed,9
794,#19 Tobias Maierhofer,#6 Jonathan Meyer-Bothling,GER Open,8
1415,#37 Jet Hilborne,#88 Cameron Weir,GBR Mixed,8
1305,#2 Jack Keddy,#22 Morgan O'Hara,NZL Mixed,8
656,#11 Andrea Fantini,#26 David Barzasi,ITA Open,8
1449,#67 ZIYUE QIAN,#77 HAO YAN,CHN Mixed,8
591,#72 Paul Ressl,#78 Christoph Angetter,AUT Open,8
455,#13 Sophia Leonor Genio,#4 Abigail Gerlyn Abing,PHI Women's,8
372,#4 Abigail Gerlyn Abing,#52 Janica Angelli Luzuriaga,PHI Women's,8
360,#14 Gabriela Gómez,#21 María Vásquez,COL Women's,8
344,#27 Valeria Moreno Martínez,#3 Laura Arango,COL Women's,8
254,#11 Julia Giurgiu,#4 Emma Whitlock,NZL Women's,8
168,#11 Emma Falke,#12 Lisa Schütz,GER Women's,8
732,#17 Juan Ginez,#5 Alejandro Marin,COL Open,8
358,#14 Gabriela Gómez,#3 Laura Arango,COL Women's,7
403,#10 Marina Symington,#26 Emily Hill,GBR Women's,7
213,#26 Lara Collier,#4 Clare Gilheany,IRL Women's,7
1512,#28 Taya Nell Sterkenburg,#71 Jason Darren Garde,RSA Mixed,7
139,#14 Sarah Jacobsohn,#17 Madison Ong,CAN Women's,7
134,#14 Sarah Jacobsohn,#7 Anna Goddu,CAN Women's,7
1398,#1 ZHAOJIE ZHOU,#67 ZIYUE QIAN,CHN Mixed,7
703,#26 David Barzasi,#8 Sebastian Rossi,ITA Open,7
1025,#38 Hugo Swinson,#45 Theo McIntosh,NZL Open,7
1022,#5 KEITA SASAKI,#88 TSUBASA TAKAHASHI,JPN Open,7
1140,#38 Cian Hypolite,#53 Leo Cunningham,IRL Open,7
951,#10 Daan De Marree,#50 Lander Decraene,BEL Open,7
1010,#8 Lucas Bouchon,#99 Tom Blasman,NED Open,7
1640,#5 Alexander Hermansson,#70 Ludwig Jorman Bergholm,SWE Mixed,7
982,#53 JOJI SHIMIZU,#88 TSUBASA TAKAHASHI,JPN Open,7
1004,#23 QINGLI LIN,#27 ZHIJIE WANG,CHN Open,7
813,#10 Roy Kang,#19 Boon Heng Tan,SGP Open,6
999,#23 QINGLI LIN,#3 MAOSEN SHANG,CHN Open,6
131,#17 Madison Ong,#93 Mika Kurahashi,CAN Women's,6
1051,#2 KEI SAKO,#5 KEITA SASAKI,JPN Open,6
1012,#11 SOTA ONO,#53 JOJI SHIMIZU,JPN Open,6
1510,#10 Siyabonga Mhlongo,#26 Eliza Camille Stewart,RSA Mixed,6
183,#12 Lisa Schütz,#21 Ava Mueller,GER Women's,6
1799,#83 Katarina Ninaus,#99 Nina Pansy,AUT Women's,6
359,#4 Celeste Ang Jia Hui,#61 Siti Aisyah Binte Andry Erfanto,SGP Women's,6
984,#2 KEI SAKO,#53 JOJI SHIMIZU,JPN Open,6
1683,#38 PO-EN TSAI,#99 JIA-FONG LIN,TPE Mixed,6
366,#5 Valerie Yong Wai Yan,#72 Jovina Lew,SGP Women's,6
83,#20 Ann-Kathrin Blum,#21 Ava Mueller,GER Women's,6
959,#33 Tobe Decraene,#9 Sofiene Bontemps,BEL Open,6
420, , ,Unknown,6
949,#10 Daan De Marree,#9 Sofiene Bontemps,BEL Open,6
1636,#5 Alexander Hermansson,#71 Adam Blomgren,SWE Mixed,6
675,#11 Ji Ern Chee,#16 Justin Low Yue Jun,SGP Open,6
1072,#28 Jono Keyes,#61 Callum Faulkner,AUS Open,6
1365,#22 Morgan O'Hara,#78 Finn Collins,NZL Mixed,6
1069,#10 Daan De Marree,#33 Tobe Decraene,BEL Open,6
0,#44 Stacy Gaskill,#7 Abigail Hecko,USA Women's,6
64,#4 Clare Gilheany,#88 Megan O'Regan-Artaud,IRL Women's,6
1494,#11 Joven Chong,#21 Jeffery Koh Yong Ping,SGP Mixed,5
164,#11 Emma Falke,#75 Charlotte Schall,GER Women's,5
1224,#6 Morris Witkam,#99 Tom Blasman,NED Open,5
981,#1 KAKERU CHIBA,#2 KEI SAKO,JPN Open,5
1217,#22 Louis Stewart,#99 Patrick Kelly Bowen,IRL Open,5
1400,#57 HIROTO MATSUHASHI,#75 NAKOTO KURAKANO,JPN Mixed,5
428,#10 Francesca Ugolini,#7 Giulia Cristofolini,ITA Women's,5
1339,#43 Ho Owen Chan,#8 Ka Lok Ethan Lau,HKG Mixed,5
1030,#26 SODAI OZAKI,#53 JOJI SHIMIZU,JPN Open,5
1397,#22 ANRI HOSOTANI,#3 SHUTO NAGAI,JPN Mixed,5
1642,#70 Ludwig Jorman Bergholm,#99 Jakob Rehnström,SWE Mixed,5
1391,#10 KENTO ARAKI,#7 NAOYA TAKAHASHI,JPN Mixed,5
53,#4 Clare Gilheany,#77 Hannah Wilson,IRL Women's,5
1381,#1 ZHAOJIE ZHOU,#77 HAO YAN,CHN Mixed,5
158,#2 Frida Rücker,#21 Ava Mueller,GER Women's,5
1579,#26 Eliza Camille Stewart,#71 Jason Darren Garde,RSA Mixed,5
1626,#30 Zi Cen Wang,#91 Cameron Kennedy,CAN Mixed,5
735,#17 Juan Ginez,#43 Tomás Jaramillo,COL Open,5
1499,#21 Jeffery Koh Yong Ping,#66 Jia Yi Tham,SGP Mixed,5
297,#33 RIYU SHIMIZU,#89 HIKARI HASHIZUME,JPN Women's,5
603,#10 Benjamin Dameron,#25 Orion Cable,USA Open,5
294,#24 MIRI MATSUZAKI,#81 ASUKA MORIOKA,JPN Women's,5
2152,#8 PO-SHENG CHEN,#99 JIA-FONG LIN,TPE Mixed,5
442,#15 Christine Seow Sok Xuan,#4 Celeste Ang Jia Hui,SGP Women's,5
1131,#18 Brendan Dunne,#22 Louis Stewart,IRL Open,5
1603,#21 dax Miller,#74 Filip Kragl,CAN Mixed,5
1599,#11 Matthew Shu,#44 YU-HSIANG HUNG,TPE Mixed,5
1390,#2 YUYAN WANG,#77 HAO YAN,CHN Mixed,5
1128,#17 Adam Chung,#43 Benjamin Swanson,NZL Open,5
694,#11 Andrea Fantini,#23 Edoardo Fabbri,ITA Open,5
1982,#36 Maria Noponen,#54 Teemu Virtanen,FIN Mixed,5
793,#77 Paul Herkens,#9 Bela Luksch,GER Open,5
1455,#10 Ana Giron,#5 Juan Ariño,COL Mixed,5
622,#19 Tobias Maierhofer,#29 Nis-Julius Sontag,GER Open,5
1952,#12 Sam Choo,#37 Jet Hilborne,GBR Mixed,5
900,#19 Wilkie Lewis,#86 Jakob Brissette,CAN Open,5
899,#6 Morris Witkam,#9 Benjamin Oort,NED Open,5
1284,#12 Declan Miller,#5 Aidan Downey,USA Mixed,5
1685,#31 PIN-HAN CHENG,#99 JIA-FONG LIN,TPE Mixed,5
1953,#74 Olivia Judd,#78 Finn Collins,NZL Mixed,5
1048,#11 SOTA ONO,#2 KEI SAKO,JPN Open,5
1163,#23 QINGLI LIN,#72 ZHENLONG NIU,CHN Open,5
1562,#1 Natasha Langsdon,#58 Jake Upton,AUS Mixed,5
1563,#23 Saku Vintola,#24 Okko Winqwist,FIN Mixed,5
48,#11 Dawn Culton,#72 Ezra Weybright,USA Women's,5
1987,#0 Kent Willcock,#24 Nikki Whyte,NZL Mixed,5
581,#46 Tristan Yarter,#51 Kevin Pignone,USA Open,5
590,#10 Benjamin Dameron,#37 Matthew McKnight,USA Open,5
1459,#37 Jet Hilborne,#63 Ryan Kapma,GBR Mixed,5
2371,#22 Morgan O'Hara,#31 Lucas Willcock,NZL Mixed,5
1297,#24 Jacob Cowan,#4 Sarah Vondoepp,USA Mixed,5
1378,#2 Jack Keddy,#78 Finn Collins,NZL Mixed,5
908,#44 Aäron Morsen,#99 Tom Blasman,NED Open,4
1177,#34 Wolf Oosterlinck,#9 Sofiene Bontemps,BEL Open,4
186,#20 May Lee Rickards-Tang,#3 Julie Chong,AUS Women's,4
2187,#11 SOTA ONO,#5 KEITA SASAKI,JPN Open,4
1379,#22 ANRI HOSOTANI,#57 HIROTO MATSUHASHI,JPN Mixed,4
208,#24 Christina McKeon,#88 Megan O'Regan-Artaud,IRL Women's,4
199,#10 Caoimhe Cunningham,#4 Clare Gilheany,IRL Women's,4
1536,#21 Jeffery Koh Yong Ping,#33 Reynard Cher Zhi Heng,SGP Mixed,4
2104,#58 Jake Upton,#72 Elizabeth Chen,AUS Mixed,4
1389,#24 HARUNA OKAMOTO,#57 HIROTO MATSUHASHI,JPN Mixed,4
301,#8 NANAKO KOIZUMI,#9 TSUGUMI KITA,JPN Women's,4
1525,#1 Natasha Langsdon,#82 Abdul Siddique,AUS Mixed,4
1539,#58 Jake Upton,#82 Abdul Siddique,AUS Mixed,4
1519,#26 Eliza Camille Stewart,#28 Taya Nell Sterkenburg,RSA Mixed,4
594,#11 Calvin Stoughton,#18 Adam Miller,USA Open,4
1878,#20 Madalyn Simko,#52 Chackgarin Brown,USA Mixed,4
720,#26 Andrew Sweetnam,#55 Sam Criddle,GBR Open,4
2424,#25 Louis Brunner,#59 Timon Eggenberg,SUI Mixed,4
987,#5 KEITA SASAKI,#53 JOJI SHIMIZU,JPN Open,4
690,#26 David Barzasi,#90 Samuele Ruscello,ITA Open,4
1413,#4 MAHIRO ADACHI,#7 NAOYA TAKAHASHI,JPN Mixed,4
904,#41 Alexandre Bedard,#8 Oscar Stonehouse,CAN Open,4
1433,#10 KENTO ARAKI,#14 YURI KOKIDO,JPN Mixed,4
682,#19 Fernando Vozzi,#26 David Barzasi,ITA Open,4
1436,#26 ITSUYA ONISHI,#57 HIROTO MATSUHASHI,JPN Mixed,4
897,#19 Wilkie Lewis,#41 Alexandre Bedard,CAN Open,4
1440,#30 Laura Acosta,#5 Juan Ariño,COL Mixed,4
401,#3 Laura Arango,#72 Camila Muñoz,COL Women's,4
957,#10 Daan De Marree,#17 Louis Bétrancourt,BEL Open,4
1444,#0 JUNHAO CHEN,#36 XIN JI,CHN Mixed,4
966,#16 Oliver Loughnan,#28 Jono Keyes,AUS Open,4
283,#15 Christine Seow Sok Xuan,#9 Ermilia Pok,SGP Women's,4
1456,#12 Sam Choo,#15 Joshua East,GBR Mixed,4
415,#2 Teresa Brugnoli,#99 Maria Aidonis,ITA Women's,4
285,#2 ASUKA KATAGIRI,#57 OHKI KAHO,JPN Women's,4
600,#63 Jakob Kratky,#91 Jakob Mitsche,AUT Open,4
418,#3 Laura Arango,#6 Valentina Aristizábal,COL Women's,4
884,#86 Jakob Brissette,#88 Devon Bringeland-Powell,CAN Open,4
881,#10 Roy Kang,#17 Jie Xun Yap,SGP Open,4
1225,#18 Brendan Dunne,#99 Patrick Kelly Bowen,IRL Open,4
236,#12 Julia Cabai,#77 Thea Osmond,AUS Women's,4
1475,#84 Ned Morris,#99 Jack Halkyard,GBR Mixed,4
382,#12 Nicole Isabel Amurao,#52 Janica Angelli Luzuriaga,PHI Women's,4
434,#3 Elisa Cappucci,#73 Angelica Sarti,ITA Women's,4
950,#33 Tobe Decraene,#35 Benjamin Jonkers,BEL Open,4
293,#2 ASUKA KATAGIRI,#9 TSUGUMI KITA,JPN Women's,4
862,#46 Raphael Panic,#72 Paul Ressl,AUT Open,4
1210,#8 Ross O'Donovan,#99 Patrick Kelly Bowen,IRL Open,4
602,#67 Noah Haider,#72 Paul Ressl,AUT Open,4
1506,#11 Joven Chong,#13 Jaryl Tay Jing Rui,SGP Mixed,4
2289,#10 Theodor Riegler,#78 Christoph Angetter,AUT Open,4
623,#29 Nis-Julius Sontag,#6 Jonathan Meyer-Bothling,GER Open,4
1551,#28 Andrew Catchpole,#82 Abdul Siddique,AUS Mixed,4
1666,#71 Adam Blomgren,#99 Jakob Rehnström,SWE Mixed,4
1921,#3 SHUTO NAGAI,#75 NAKOTO KURAKANO,JPN Mixed,4
557,#13 Sophia Leonor Genio,#52 Janica Angelli Luzuriaga,PHI Women's,4
1661,#71 CHUN-YI WU,#98 XIANG-TING HUANG,TPE Mixed,4
925,#19 Wilkie Lewis,#88 Devon Bringeland-Powell,CAN Open,4
2139,#71 CHUN-YI WU,#8 PO-SHENG CHEN,TPE Mixed,4
117,#0 Pénélope Robert,#3 Reissa Lee-Chan,CAN Women's,4
1657,#7 YU-HAN WONG,#99 JIA-FONG LIN,TPE Mixed,4
1103,#28 Jono Keyes,#9 Leon Ngo,AUS Open,4
795,#5 Alejandro Marin,#6 Jacobo García,COL Open,4
748,#18 Luis Melo,#8 Gustavo Mendez,COL Open,4
1107,#16 Oliver Loughnan,#22 Lucien Nöel,AUS Open,4
470,#47 Flora Scala,#83 Katarina Ninaus,AUT Women's,4
1109,#45 Finn Liersch,#99 Tom Blasman,NED Open,4
362,#21 María Vásquez,#3 Laura Arango,COL Women's,4
504,#77 Rebecca Hardman Carter,#9 Phoebe Teo,GBR Women's,4
1665,#1 Ralph Daucourt,#46 Lisa Ringgenberg,SUI Mixed,4
107,#11 Helena Tremblay,#23 Arabella Brudney,CAN Women's,4
363,#27 Valeria Moreno Martínez,#6 Valentina Aristizábal,COL Women's,4
104,#14 Sarah Jacobsohn,#27 Jazmin Ulalan,CAN Women's,4
771,#67 Noah Haider,#78 Christoph Angetter,AUT Open,4
79,#21 Ava Mueller,#75 Charlotte Schall,GER Women's,4
1694,#2 Aurèle Lesslauer,#8 Leon Vitaliano,SUI Mixed,4
773,#17 Juan Ginez,#6 Jacobo García,COL Open,4
1691,#31 PIN-HAN CHENG,#71 CHUN-YI WU,TPE Mixed,4
348,#15 Lina Mojica,#3 Laura Arango,COL Women's,4
775,#7 Erik Allmer,#78 Christoph Angetter,AUT Open,4
776,#43 Florian Bayr,#63 Jakob Kratky,AUT Open,4
27,#11 Dawn Culton,#24 Kira Flores,USA Women's,4
785,#77 Paul Herkens,#98 Lucas Dippel,GER Open,4
1673,#2 Aurèle Lesslauer,#25 Louis Brunner,SUI Mixed,4
1299,#52 Chackgarin Brown,#77 Katrina McGuire,USA Mixed,4
1040,#11 SOTA ONO,#26 SODAI OZAKI,JPN Open,4
555,#13 Rosa Wutti,#31 Laura Jungwirth,AUT Women's,4
940,#53 Leo Cunningham,#99 Patrick Kelly Bowen,IRL Open,4
1630,#18 Brianna Prentice,#71 Ben Simmonds,CAN Mixed,4
125,#11 Julia Giurgiu,#99 Zaria Ireland,NZL Women's,4
160,#19 Milena Kintrup,#21 Ava Mueller,GER Women's,4
575,#10 Roy Kang,#21 Wong Kong Yew,SGP Open,4
1570,#14 Lyndall Lucy Voss-Price,#7 Samuel Neil Bovim,RSA Mixed,4
2015,#55 Luis Siegenthaler,#8 Leon Vitaliano,SUI Mixed,4
1580,#1 Natasha Langsdon,#5 Alex Sangah,AUS Mixed,4
1569,#3 Hermias Cornelius Nieuwoudt,#71 Jason Darren Garde,RSA Mixed,4
370,#13 Jing Ting Tonya Heng,#72 Jovina Lew,SGP Women's,4
1361,#1 Jayden Frost,#31 Lucas Willcock,NZL Mixed,4
802,#0 Rivaldo Briceño,#57 Julián Betancur,COL Open,4
734,#19 Guillermo Luna,#5 Alejandro Marin,COL Open,4
1054,#1 KAKERU CHIBA,#11 SOTA ONO,JPN Open,4
1556,#3 Curtis Ly,#58 Jake Upton,AUS Mixed,4
736,#14 Juan David Guzmán Quintero,#5 Alejandro Marin,COL Open,4
1889,#23 Paul Krenik,#24 Jacob Cowan,USA Mixed,4
1017,#26 SODAI OZAKI,#5 KEITA SASAKI,JPN Open,4
368,#4 Celeste Ang Jia Hui,#9 Ermilia Pok,SGP Women's,4
666,#23 Edoardo Fabbri,#26 David Barzasi,ITA Open,4
1601,#24 CHENG-WEI YOU,#78 BO-YI YAN,TPE Mixed,4
916,#19 Wilkie Lewis,#33 Martin Gallant,CAN Open,4
1126,#38 Hugo Swinson,#52 Owen Sun,NZL Open,4
178,#21 Ava Mueller,#33 Tabea Dreja,GER Women's,4
2401,#17 Hayden Austin-Knab,#34 Henry Ing,USA Mixed,4
571,#13 Sophia Leonor Genio,#31 Sophie Alice Bradborn,PHI Women's,4
498,#26 Emily Hill,#34 Katie Trim,GBR Women's,4
322,#23 AYURI KAWAYANAGI,#24 MIRI MATSUZAKI,JPN Women's,4
804,#0 Rivaldo Briceño,#5 Alejandro Marin,COL Open,4
1617,#14 Avery Lee-Pii,#21 dax Miller,CAN Mixed,4
644,#17 Juan Ginez,#57 Julián Betancur,COL Open,3
1304,#12 Declan Miller,#52 Chackgarin Brown,USA Mixed,3
393,#31 Laura Jungwirth,#74 Maja Ortner,AUT Women's,3
1285,#11 Sara Liang,#47 Victoria Gray,USA Mixed,3
1300,#23 Paul Krenik,#4 Sarah Vondoepp,USA Mixed,3
371,#13 Sophia Leonor Genio,#27 Deepa Ivyette David,PHI Women's,3
645,#15 Rutledge Smith,#25 Orion Cable,USA Open,3
2141,#2 KUAN-LUN LIN,#99 JIA-FONG LIN,TPE Mixed,3
1924,#34 TOSHIKI ISHI,#57 HIROTO MATSUHASHI,JPN Mixed,3
626,#10 Rhodri Williams,#27 Nicholas Houghton,GBR Open,3
2130,#19 Sze Ngai Jake Yuen,#9 Tai Tsui Yeung,HKG Mixed,3
953,#10 Daan De Marree,#42 Gaëtan Vanden Broeck,BEL Open,3
1937,#22 Madeleine Leong,#99 Jack Halkyard,GBR Mixed,3
2131,#28 Daniela Criollo,#5 Juan Ariño,COL Mixed,3
41,#1 Reyer Carpenter,#20 May Lee Rickards-Tang,AUS Women's,3
381,#21 María Vásquez,#44 Salome Atehortua,COL Women's,3
1289,#17 Hayden Austin-Knab,#3 Leo Sovell-Fernandez,USA Mixed,3
1934,#18 Alva Angergård,#5 Alexander Hermansson,SWE Mixed,3
630,#23 Gregor Forster,#25 James English,GBR Open,3
367,#13 Jing Ting Tonya Heng,#5 Valerie Yong Wai Yan,SGP Women's,3
1273,#14 Roan Gaasbeek,#99 Tom Blasman,NED Open,3
1923,#12 Arvid Arensmeier,#36 Cornelia Oscarsson,SWE Mixed,3
1290,#18 Axel Agami Contreras,#4 Sarah Vondoepp,USA Mixed,3
