,person 1,person 2,team,index,# connections
2136,#4 Emma Whitlock,#99 Zaria Ireland,NZL Women's,53,24
2618,#9 Benjamin Oort,#99 Tom Blasman,NED Open,23,20
963,#17 Adam Chung,#88 Bryn Douglas,NZL Open,41,17
566,#12 Lisa Schütz,#75 Charlotte Schall,GER Women's,25,15
1578,#23 Saku Vintola,#54 Teemu Virtanen,FIN Mixed,31,14
728,#14 Angela Pidgeon,#4 Lucy Deller,AUS Women's,24,13
1691,#25 Louis Brunner,#8 Leon Vitaliano,SUI Mixed,42,13
2354,#53 Filip Molnár,#99 Tom Blasman,NED Open,48,12
455,#11 Matthew Shu,#78 BO-YI YAN,TPE Mixed,73,12
1927,#30 YURONG HUANG,#40 HAITANG ZHANG,CHN Women's,22,12
1274,#2 Nathan Ong Song En,#33 Reynard Cher Zhi Heng,SGP Mixed,12,11
1610,#24 Christina McKeon,#4 Clare Gilheany,IRL Women's,46,11
2040,#35 Benjamin Jonkers,#9 Sofiene Bontemps,BEL Open,29,11
1379,#21 Kody Elliott-Edwards,#26 Andrew Sweetnam,GBR Open,31,11
1349,#21 Ava Mueller,#3 Rebecca Reimann,GER Women's,14,11
908,#16 Ethan Morrell,#55 Sam Criddle,GBR Open,78,11
345,#10 Siyabonga Mhlongo,#71 Jason Darren Garde,RSA Mixed,27,10
1949,#31 Lucas Willcock,#78 Finn Collins,NZL Mixed,34,10
1903,#3 SHUTO NAGAI,#57 HIROTO MATSUHASHI,JPN Mixed,61,10
2190,#43 Benjamin Swanson,#88 Bryn Douglas,NZL Open,61,10
2066,#37 Calvin Coulbury,#74 Filip Kragl,CAN Mixed,37,10
1351,#21 Ava Mueller,#36 Pia Bankwitz,GER Women's,83,10
904,#16 Ethan Morrell,#26 Andrew Sweetnam,GBR Open,48,9
2068,#37 Herman Engström,#5 Alexander Hermansson,SWE Mixed,40,9
2628,#98 XIANG-TING HUANG,#99 JIA-FONG LIN,TPE Mixed,42,9
170,#1 Reyer Carpenter,#14 Angela Pidgeon,AUS Women's,34,9
