,person 1,person 2,team,# connections
1539,#15 Sho Okajima,#94 Futa Tanaka,Rascals,22
1545,#15 Sho Okajima,#19 Shun Akamatsu,Rascals,21
2570,#33 Tobe Decraene,#88 Aaron Vande Weghe,Gentle,18
1059,#21 Kanari Imanishi,#77 Risa Shimada,MUD,17
2991,#2 Matthew Pagé,#32 Tomas Boyle,PBHG,17
3497,#17 Carlos Andrés Valdivia Herrera,#95 VICTOR BAUTISTA GONZALEZ,Condor Ultimate,16
1519,#10 Alexander Gan,#35 Sam McGuckin,Sunder,16
3483,#56 Leila Denniston,#8 Akito Oyama,Deep Space,16
3738,#34 Giovanni Saracco,#37 Sebastiano Chini,CUSB Red Shot,16
1762,#10 Arvind Ravichandar,#50 Darien Tan,Koels,15
2599,#5 Tony Castrignano,#57 Lachlan McDonald,Melbourne Juggernaut,15
2182,#10 MASAHIRO MATSUNO,#24 TAIYO ARAKAWA,Buzz Bullets,15
1652,#15 Alexander Allgaier,#34 Jonathan Kramer,7 Schwaben,14
2556,#33 Tobe Decraene,#50 Lander Decraene,Gentle,14
3680,#13 ANDRES RODRIGUEZ HERNANDEZ,#23 OLIVER OSCAR CHARTOCK,Voltaje,14
1055,#10 Malina Wiebe,#44 Kara Hammer,Nightlock,14
3902,#11 Floor Keulartz,#9 Benjamin Oort,GRUT,14
1062,#64 Yuko Kashino,#77 Risa Shimada,MUD,14
179,#20 Yina Paola Cartagena Muñoz,#96 Maria Angélica Forero Becerra,Revolution,13
1707,#23 Jimmy Mickle,#69 Ben Jagt,PoNY,13
2495,#2 Peter Osseward,#44 Jordan Denecour,Baja Ultimate,13
1546,#13 SHIN YOSHIZAKI,#15 Sho Okajima,Rascals,13
2791,#33 Lisa Kücholl,#36 Felix Glöde,Colorado,13
2605,#32 Nasser MBAE VOGEL,#91 Joseph WHITE,Iznogood,13
1388,#17 Gonzalo Manrique,#77 José Jimenez,URO Monster,13
217,#17 Carla Link,#5 Molly Wedge,Bristol Women,13
3770,#30 Eva Bornot,#70 Lison Bornot,PUC Ultimate,13
343,#56 Laura Boyd,#84 Audrey Melançon-Fournier,SCRAM,13
2367,#25 Robert Andrews,#37 Liam Haberfield,Melbourne Ellipsis,13
4128,#21 Aaron Seah,#73 Muhammad Iswandi Bin Isnawan,Otters,13
178,#20 Yina Paola Cartagena Muñoz,#33 Maria Valeria Cárdenas Velásquez,Revolution,12
4421,#10 Andres Patiño Criado,#99 Daniel Fernando Romero Prieto,D-CRASH,12
2988,#2 Kathryn Ritzmann,#22 Kyle Henke,SUFC Valhalla,12
714,#2 Stephanie Wood,#89 Bekah Swanson,Pop Ultimate,12
617,#59 Áine Gilheany,#72 Emma Pichot,Dublin Gravity,12
1016,#14 Sarah Norton,#90 Catherine Menzies,Traffic,12
1381, , ,Unknown,12
906,#35 Cat Phillips,#73 Anouchka Beaudry,Ellipsis,12
2603,#57 Clément GIFFARD,#91 Joseph WHITE,Iznogood,12
3944,#47 Charles Asselin,#7 Eric Dion,LAB,12
4251,#0 Guillaume Espitia,#10 Brice Nemoz,Monkeys,12
1994,#16 Tim Tsang,#45 Malcolm Bryson,Furious George,11
3658,#10 Gagandeep Chatha,#93 Mika Kurahashi,Red Flag,11
1714,#18 Josh East,#21 Sam Cameron,Chevron,11
1089,#23 Asako Takaura,#77 Risa Shimada,MUD,11
520,#16 Sarah Meckstroth,#7 Kami Groom,Raleigh Phoenix,11
2016,#35 Benjamin Jonkers,#88 Rephael Jonkers,Mooncatchers,11
3717,#18 Oliver Gray,#46 Nick Williams,SMOG 1,11
